Chip,PIN,GPIO,Connection
ESP32,10,25,Action Button
ESP32,29,5,WS2812
ESP32,16,13,MAX7456_MOSI
ESP32,13,14,MAX7456_SCLK
ESP32,31,19,MAX7456_MISO
ESP32,27,16,CD4021_Clock
ESP32,28,17,CD4021_Latch
ESP32,30,18,CD4021_Data
ESP32,33,21,"PCA_SCL, TDA7439_SCL--A2"
ESP32,36,22,"PCA_SDA, TDA7439_SDA--A2"
ESP32,11,26,TDA7439_SDA--A1
ESP32,12,27,TDA7439_SCL--A1
ESP32,4,36,VU1_OUT (analog)
ESP32,5,39,VU2_OUT (analog)
PCA,4,IO0_0,CD4051_A--MX1
PCA,5,IO0_1,CD4051_B--MX1
PCA,6,IO0_2,CD4051_C--MX1
PCA,7,IO0_3,CD4051_A--MX2
PCA,8,IO0_4,CD4051_B--MX2
PCA,9,IO0_5,CD4051_C--MX2
PCA,10,IO0_6,MAX7456_CS--V1
PCA,11,IO0_7,MAX7456_CS--V2
PCA,12,IO1_0,MAX7456_RST
PCA,13,IO1_1,MSGEQ7_RST
PCA,14,IO1_2,MSGEQ7_CLK
PCA,15,IO1_3,MSGEQ7_STROBE
